"Año","Mes","Valor"
"1994","Octubre","2,625,000.00"
"1994","Noviembre","350,000.00"
"1994","Noviembre","10,986,500.00"
"1994","Noviembre","2,700,000.00"
"1994","Noviembre","44,225,000.00"
"1994","Noviembre","19,154,000.00"
"1994","Noviembre","16,975,000.00"
"1994","Noviembre","9,180,000.00"
"1994","Noviembre","21,680,000.00"
"1994","Noviembre","7,298,000.00"
"1994","Diciembre","7,472,000.00"
"1994","Diciembre","16,570,000.00"
"1994","Diciembre","4,310,700.00"
"1994","Diciembre","20,409,200.00"
"1994","Diciembre","22,360,000.00"
"1994","Diciembre","5,189,000.00"
"1994","Diciembre","17,624,000.00"
"1994","Diciembre","13,211,900.00"
"1994","Diciembre","3,584,000.00"
"1994","Diciembre","11,405,500.00"
"1994","Diciembre","7,429,200.00"
"1994","Diciembre","14,620,000.00"
"1994","Diciembre","2,370,000.00"
"1994","Diciembre","11,527,200.00"
"1994","Diciembre","18,254,400.00"
"1994","Diciembre","24,057,600.00"
"1994","Diciembre","20,163,900.00"
"1995","Enero","5,453,000.00"
"1995","Enero","26,286,000.00"
"1995","Enero","27,292,400.00"
"1995","Enero","10,681,600.00"
"1995","Enero","9,530,300.00"
"1995","Enero","4,742,200.00"
"1995","Enero","20,967,000.00"
"1995","Enero","27,127,000.00"
"1995","Enero","25,645,700.00"
"1995","Enero","24,023,000.00"
"1995","Enero","10,764,000.00"
"1995","Enero","24,630,300.00"
"1995","Enero","19,924,700.00"
"1995","Enero","36,980,700.00"
"1995","Enero","15,983,300.00"
"1995","Enero","11,213,000.00"
"1995","Enero","40,029,300.00"
"1995","Enero","13,720,000.00"
"1995","Enero","21,610,100.00"
"1995","Enero","7,927,500.00"
"1995","Febrero","29,047,500.00"
"1995","Febrero","24,943,700.00"
"1995","Febrero","27,331,200.00"
"1995","Febrero","20,658,400.00"
"1995","Febrero","7,569,200.00"
"1995","Febrero","29,661,700.00"
"1995","Febrero","22,539,680.00"
"1995","Febrero","15,335,500.00"
"1995","Febrero","18,140,000.00"
"1995","Febrero","22,546,800.00"
"1995","Febrero","9,961,200.00"
"1995","Febrero","9,012,000.00"
"1995","Febrero","21,568,300.00"
"1995","Febrero","38,980,500.00"
"1995","Febrero","19,806,800.00"
"1995","Febrero","25,635,300.00"
"1995","Febrero","35,762,300.00"
"1995","Febrero","15,853,000.00"
"1995","Febrero","29,177,900.00"
"1995","Febrero","15,964,700.00"
"1995","Febrero","6,279,400.00"
"1995","Marzo","15,874,100.00"
"1995","Marzo","19,050,800.00"
"1995","Marzo","29,263,200.00"
"1995","Marzo","17,553,300.00"
"1995","Marzo","38,919,300.00"
"1995","Marzo","33,366,000.00"
"1995","Marzo","23,054,100.00"
"1995","Marzo","48,372,200.00"
"1995","Marzo","19,782,500.00"
"1995","Marzo","22,752,500.00"
"1995","Marzo","16,008,300.00"
"1995","Marzo","12,094,700.00"
"1995","Marzo","22,075,100.00"
"1995","Marzo","21,724,400.00"
"1995","Marzo","20,609,920.00"
"1995","Marzo","28,413,800.00"
