"Año","Mes","Valor"
"1996","Enero","600,000.00"
"1996","Enero","150,000.00"
"1996","Enero","397,488.70"
"1996","Febrero","1,229,654.00"
"1996","Marzo","340,727.80"
"1996","Marzo","462,480.00"
"1996","Abril","799,988.80"
"1996","Abril","154,000.00"
"1996","Abril","122,328.20"
"1996","Abril","215,000.00"
"1996","Mayo","1,208,902.00"
"1996","Mayo","1,211,134.00"
"1996","Mayo","20,000.00"
"1996","Junio","184,090.50"
"1996","Junio","345,586.30"
"1996","Junio","306,308.50"
"1996","Junio","158,238.90"
"1996","Julio","1,347,201.00"
"1996","Agosto","1,082,240.00"
"1996","Agosto","485,766.40"
"1996","Septiembre","347,826.20"
"1996","Septiembre","1,506,000.00"
"1996","Septiembre","1,089,000.00"
"1996","Septiembre","242,000.00"
"1996","Octubre","85,000.00"
"1996","Octubre","390,000.00"
"1996","Octubre","101,657.50"
"1996","Octubre","600,000.00"
"1996","Octubre","180,000.00"
"1996","Octubre","162,433.30"
"1996","Octubre","1,355,120.40"
"1996","Noviembre","616,906.40"
"1996","Noviembre","1,265,457.00"
"1996","Diciembre","357,148.40"
"1996","Diciembre","620,518.10"
"1997","Enero","523,350.80"
"1997","Enero","400,876.50"
"1997","Enero","600,000.00"
"1997","Febrero","151,250.00"
"1997","Febrero","501,401.20"
"1997","Marzo","838,720.00"
"1997","Abril","2,460,000.00"
"1997","Junio","720,000.00"
"1997","Junio","1,399,999.80"
"1997","Septiembre","100,000.00"
"1997","Septiembre","125,000.00"
"1997","Octubre","1,493,089.10"
"1997","Octubre","1,800,000.00"
"1997","Octubre","6,130,000.00"
"1997","Octubre","720,000.00"
"1997","Noviembre","5,400,000.00"
"1997","Noviembre","4,123,391.80"
"1997","Diciembre","3,582,250.00"
"1997","Diciembre","3,582,250.00"
"1997","Diciembre","123,813.20"
"1997","Diciembre","622,000.00"
"1997","Diciembre","1,405,892.50"
"1997","Diciembre","10,292,000.00"
"1997","Diciembre","2,216,493.00"
"1997","Diciembre","9,246,960.00"
"1997","Diciembre","8,000,000.00"
"1998","Enero","6,167,820.00"
"1998","Enero","775,595.00"
"1998","Enero","1,840,250.00"
"1998","Enero","9,805,650.80"
"1998","Enero","4,039,316.90"
"1998","Enero","18,142,314.00"
"1998","Enero","300,000.00"
"1998","Enero","300,335.50"
"1998","Enero","7,477,360.00"
"1998","Enero","200,123.50"
"1998","Enero","1,162,952.70"
"1998","Febrero","21,983,455.30"
"1998","Febrero","7,291,427.00"
"1998","Febrero","1,250,000.00"
"1998","Febrero","16,699,000.00"
"1998","Febrero","562,500.00"
"1998","Febrero","7,281,927.50"
"1998","Febrero","5,000,000.00"
"1998","Febrero","10,789,678.00"
"1998","Febrero","12,400,000.00"
"1998","Febrero","270,000.00"
"1998","Febrero","48,000.00"
"1998","Marzo","6,235,000.00"
"1998","Marzo","39,632,312.10"
"1998","Marzo","14,320,713.00"
"1998","Marzo","6,405,550.00"
"1998","Marzo","11,012,015.00"
"1998","Marzo","16,560,000.00"
"1998","Marzo","2,003,320.00"
"1998","Abril","4,424,000.00"
"1998","Abril","12,222,000.00"
"1998","Abril","2,961,000.00"
"1998","Abril","2,598,327.50"
"1998","Abril","5,381,737.30"
"1998","Abril","19,233,697.00"
"1998","Abril","3,125,000.00"
"1998","Abril","9,455,325.00"
"1998","Abril","3,784,266.00"
"1998","Abril","1,260,000.00"
"1998","Abril","3,608,125.00"
"1998","Mayo","19,491,498.00"
"1998","Mayo","303,849.60"
"1998","Mayo","8,793,652.00"
"1998","Mayo","5,478,901.90"
"1998","Mayo","2,177,090.60"
"1998","Mayo","2,078,584.50"
"1998","Mayo","3,500,000.00"
"1998","Mayo","16,396,392.30"
"1998","Mayo","4,000,000.00"
"1998","Mayo","131,857.30"
"1998","Mayo","96,460.80"
"1998","Junio","3,500,000.00"
"1998","Junio","12,200,892.70"
"1998","Junio","2,840,278.50"
"1998","Junio","1,116,022.30"
"1998","Junio","635,500.00"
"1998","Junio","3,786,000.00"
"1998","Junio","3,780,000.00"
"1998","Julio","656,836.80"
"1998","Julio","2,640,591.10"
"1998","Julio","1,394,942.30"
"1998","Agosto","7,018,410.50"
"1998","Agosto","626,938.60"
"1998","Agosto","27,672,604.00"
"1998","Agosto","5,878,831.00"
"1998","Agosto","3,040,916.80"
"1998","Septiembre","8,515,533.00"
"1998","Septiembre","1,300,000.00"
"1998","Septiembre","8,563,466.50"
"1998","Septiembre","3,038,109.80"
"1998","Septiembre","6,480,000.00"
"1998","Septiembre","29,784,793.00"
"1998","Septiembre","5,896,997.50"
"1998","Septiembre","1,267,500.00"
"1998","Octubre","9,063,505.00"
"1998","Octubre","7,282,385.30"
"1998","Octubre","12,050,925.50"
"1998","Octubre","14,625,723.50"
"1998","Octubre","5,005,554.80"
"1998","Octubre","3,000,000.00"
"1998","Noviembre","2,144,085.30"
"1998","Noviembre","6,004,138.50"
"1998","Noviembre","1,812,831.50"
