"Año","Mes","Valor"
"1946","Enero","1.27"
"1946","Febrero","1.27"
"1946","Marzo","1.31"
"1946","Abril","1.34"
"1946","Mayo","1.37"
"1946","Junio","1.37"
"1946","Julio","1.39"
"1946","Agosto","1.38"
"1946","Septiembre","1.43"
"1946","Octubre","1.38"
"1946","Noviembre","1.40"
"1946","Diciembre","1.37"
"1947","Enero","1.38"
"1947","Febrero","1.41"
"1947","Marzo","1.43"
"1947","Abril","1.40"
"1947","Mayo","1.40"
"1947","Junio","1.39"
"1947","Julio","1.40"
"1947","Agosto","1.40"
"1947","Septiembre","1.40"
"1947","Octubre","1.40"
"1947","Noviembre","1.39"
"1947","Diciembre","1.40"
"1948","Enero","1.41"
"1948","Febrero","1.43"
"1948","Marzo","1.45"
"1948","Abril","1.49"
"1948","Mayo","1.52"
"1948","Junio","1.57"
"1948","Julio","1.58"
"1948","Agosto","1.61"
"1948","Septiembre","1.60"
"1948","Octubre","1.66"
"1948","Noviembre","1.72"
"1948","Diciembre","1.74"
"1949","Enero","1.70"
"1949","Febrero","1.70"
"1949","Marzo","1.70"
"1949","Abril","1.70"
"1949","Mayo","1.72"
"1949","Junio","1.73"
"1949","Julio","1.72"
"1949","Agosto","1.71"
"1949","Septiembre","1.71"
"1949","Octubre","1.78"
"1949","Noviembre","1.77"
"1949","Diciembre","1.74"
"1950","Enero","1.72"
"1950","Febrero","1.75"
"1950","Marzo","1.72"
"1950","Abril","1.71"
"1950","Mayo","1.75"
"1950","Junio","1.77"
"1950","Julio","1.78"
"1950","Agosto","1.77"
"1950","Septiembre","1.79"
"1950","Octubre","1.83"
"1950","Noviembre","1.83"
"1950","Diciembre","1.80"
"1951","Enero","1.79"
"1951","Febrero","1.82"
"1951","Marzo","1.87"
"1951","Abril","1.90"
"1951","Mayo","1.93"
"1951","Junio","2.04"
"1951","Julio","2.12"
"1951","Agosto","2.09"
"1951","Septiembre","2.03"
"1951","Octubre","2.02"
"1951","Noviembre","1.96"
"1951","Diciembre","1.90"
"1952","Enero","1.89"
"1952","Febrero","1.87"
"1952","Marzo","1.86"
"1952","Abril","1.87"
"1952","Mayo","1.89"
"1952","Junio","1.86"
"1952","Julio","1.87"
"1952","Agosto","1.84"
"1952","Septiembre","1.83"
"1952","Octubre","1.83"
"1952","Noviembre","1.84"
"1952","Diciembre","1.85"
"1953","Enero","1.87"
"1953","Febrero","1.84"
"1953","Marzo","1.89"
"1953","Abril","1.85"
"1953","Mayo","1.89"
"1953","Junio","1.92"
"1953","Julio","1.97"
"1953","Agosto","1.93"
"1953","Septiembre","1.90"
"1953","Octubre","1.92"
"1953","Noviembre","1.91"
"1953","Diciembre","1.92"
"1954","Enero","1.92"
"1954","Febrero","1.98"
"1954","Marzo","2.02"
"1954","Abril","2.08"
"1954","Mayo","2.16"
"1954","Junio","2.16"
"1954","Julio","2.17"
"1954","Agosto","2.09"
"1954","Septiembre","2.06"
"1954","Octubre","2.12"
"1954","Noviembre","2.10"
"1954","Diciembre","2.09"
"1955","Enero","2.11"
"1955","Febrero","2.11"
"1955","Marzo","2.09"
"1955","Abril","2.10"
"1955","Mayo","2.11"
"1955","Junio","2.19"
"1955","Julio","2.30"
"1955","Agosto","2.19"
"1955","Septiembre","2.10"
"1955","Octubre","2.07"
"1955","Noviembre","2.05"
"1955","Diciembre","2.03"
"1956","Enero","2.04"
"1956","Febrero","2.02"
"1956","Marzo","2.04"
"1956","Abril","2.03"
"1956","Mayo","2.05"
"1956","Junio","2.05"
"1956","Julio","2.05"
"1956","Agosto","2.02"
"1956","Septiembre","2.02"
"1956","Octubre","2.01"
"1956","Noviembre","2.02"
"1956","Diciembre","2.00"
"1957","Enero","1.96"
"1957","Febrero","1.96"
"1957","Marzo","1.97"
"1957","Abril","1.97"
"1957","Mayo","1.98"
"1957","Junio","1.99"
"1957","Julio","2.00"
"1957","Agosto","1.97"
"1957","Septiembre","1.97"
"1957","Octubre","1.96"
"1957","Noviembre","1.95"
"1957","Diciembre","1.93"
"1958","Enero","1.92"
"1958","Febrero","1.92"
"1958","Marzo","1.92"
"1958","Abril","1.92"
"1958","Mayo","1.93"
"1958","Junio","1.94"
"1958","Julio","1.97"
"1958","Agosto","1.95"
"1958","Septiembre","1.93"
"1958","Octubre","1.93"
"1958","Noviembre","1.93"
"1958","Diciembre","1.92"
"1959","Enero","1.91"
"1959","Febrero","1.90"
"1959","Marzo","1.91"
"1959","Abril","1.92"
"1959","Mayo","1.93"
"1959","Junio","1.95"
"1959","Julio","1.96"
"1959","Agosto","1.95"
"1959","Septiembre","1.92"
"1959","Octubre","1.93"
"1959","Noviembre","1.92"
"1959","Diciembre","1.91"
"1960","Enero","1.88"
"1960","Febrero","1.90"
"1960","Marzo","1.88"
"1960","Abril","1.91"
"1960","Mayo","1.92"
"1960","Junio","1.92"
"1960","Julio","1.91"
"1960","Agosto","1.89"
"1960","Septiembre","1.87"
"1960","Octubre","1.87"
"1960","Noviembre","1.86"
"1960","Diciembre","1.85"
"1961","Enero","1.85"
"1961","Febrero","1.84"
"1961","Marzo","1.84"
"1961","Abril","1.83"
"1961","Mayo","1.84"
"1961","Junio","1.86"
"1961","Julio","1.87"
"1961","Agosto","1.85"
"1961","Septiembre","1.85"
"1961","Octubre","1.83"
"1961","Noviembre","1.87"
"1961","Diciembre","1.87"
"1962","Enero","1.85"
"1962","Febrero","1.85"
"1962","Marzo","1.87"
"1962","Abril","1.88"
"1962","Mayo","1.90"
"1962","Junio","1.91"
"1962","Julio","1.92"
"1962","Agosto","1.90"
"1962","Septiembre","1.87"
"1962","Octubre","1.86"
"1962","Noviembre","1.84"
"1962","Diciembre","1.85"
"1963","Enero","1.84"
"1963","Febrero","1.85"
"1963","Marzo","1.85"
"1963","Abril","1.86"
"1963","Mayo","1.85"
"1963","Junio","1.85"
"1963","Julio","1.85"
"1963","Agosto","1.85"
"1963","Septiembre","1.84"
"1963","Octubre","1.84"
"1963","Noviembre","1.85"
"1963","Diciembre","1.85"
"1964","Enero","1.85"
"1964","Febrero","1.86"
"1964","Marzo","1.88"
"1964","Abril","1.89"
"1964","Mayo","1.89"
"1964","Junio","1.91"
"1964","Julio","1.93"
"1964","Agosto","1.92"
"1964","Septiembre","1.90"
"1964","Octubre","1.90"
"1964","Noviembre","1.90"
"1964","Diciembre","1.89"
"1965","Enero","1.88"
"1965","Febrero","1.88"
"1965","Marzo","1.89"
"1965","Abril","1.90"
"1965","Mayo","1.91"
"1965","Junio","1.92"
"1965","Julio","1.92"
"1965","Agosto","1.90"
"1965","Septiembre","1.89"
"1965","Octubre","1.86"
"1965","Noviembre","1.86"
"1965","Diciembre","1.87"
"1966","Enero","1.86"
"1966","Febrero","1.86"
"1966","Marzo","1.88"
"1966","Abril","1.88"
"1966","Mayo","1.88"
"1966","Junio","1.87"
"1966","Julio","1.86"
"1966","Agosto","1.86"
"1966","Septiembre","1.84"
"1966","Octubre","1.87"
"1966","Noviembre","1.87"
"1966","Diciembre","1.87"
"1967","Enero","1.88"
"1967","Febrero","1.88"
"1967","Marzo","1.90"
"1967","Abril","1.91"
