"Variables ->","v_cpi_sub","v_cpi_nosub","cpi","cpi_star","i_endo","s_endo","s","s_1","itcer","I_a","I_p","I_star","emision_n","m1_n","m2_n","credito_n","ingtrib_n","de_us","di_n","lincred_n","prem_endo","prem","z","de_n","ingtrib_n_a","em","m1","m2","cred","ingtrib","di","de","lincred","d","emision_mm","m1_mm","m2_mm","cred_mm","consumo","gasto","fbkf","expor","impor","pib","y_star","inversion","c","g","inv","x","imp","y","ci","v_y_exo","v_s_exo","prem_exo","v_y_endo","v_y","v_c","v_inv","v_g","v_x","v_imp","v_ci","v_cpi","v_em","v_m1","v_m2","v_cred","v_lincred","v_di","v_de","v_d","v_ingtrib","v_s_endo","v_s","v_s_1","v_z","v_cpi_star","v_y_star","E_v_cpi","r","R","E_v_s","term","i_exo","i","i_neu","spread"
"Comments ->","Actualizada","","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","Actualizada","","Actualizada","","","","","","","","","","","","","","","","ya","ya","ya","ya","ya","ya","Actualizada","ya","","","","","","","","","","ya","","","","","","","","","","","","","","","","","","","Actualizada","","Actualizada","Actualizada","Actualizada","Actualizada","","","","","","","","",""
"Class[Size] ->","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]","tseries[131-by-1]"
"1995Q1",NaN,NaN,3.41013106e+01,7.40130000e+01,9.96000000e+00,5.69000000e+00,5.69000000e+00,5.76000000e+00,6.31759725e+01,2.04000000e+01,NaN,6.30000000e+00,4.00080000e+03,7.43130000e+03,1.77083000e+04,1.04117000e+04,1.37750000e+03,2.21150000e+03,4.68650000e+03,NaN,NaN,NaN,1.58288026e+02,1.25834350e+04,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,1.37428736e+04,3.69001507e+04,NaN,5.06430243e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Q2",NaN,NaN,3.53078843e+01,7.43750000e+01,1.99000000e+01,5.76000000e+00,5.76000000e+00,5.89000000e+00,6.42577930e+01,2.11000000e+01,NaN,6.11000000e+00,3.79140000e+03,7.22810000e+03,1.76965000e+04,1.10347000e+04,1.78160000e+03,2.23540000e+03,4.37770000e+03,NaN,NaN,NaN,1.55623148e+02,1.28759040e+04,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,1.23986472e+04,3.64675036e+04,NaN,4.88661508e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Q3",NaN,NaN,3.58019555e+01,7.47700000e+01,2.27400000e+01,5.89000000e+00,5.89000000e+00,5.93000000e+00,6.33897008e+01,2.14000000e+01,NaN,6.20000000e+00,3.75220000e+03,7.30810000e+03,1.86386000e+04,1.15002000e+04,1.48270000e+03,2.15440000e+03,4.89970000e+03,NaN,NaN,NaN,1.57754334e+02,1.26894160e+04,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,1.36855653e+04,3.54433601e+04,NaN,4.91289254e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Q4",NaN,NaN,3.69617225e+01,7.51050000e+01,2.44600000e+01,5.93000000e+00,5.93000000e+00,6.18000000e+00,6.48043499e+01,2.22000000e+01,NaN,4.73000000e+00,4.45900000e+03,8.06540000e+03,1.95913000e+04,1.24794000e+04,1.84690000e+03,2.10710000e+03,4.48650000e+03,NaN,NaN,NaN,1.54310629e+02,1.24951030e+04,6.48870000e+03,1.12536192e+04,2.11242469e+04,5.17784037e+04,3.19173025e+04,1.75551883e+04,1.21382330e+04,3.38055214e+04,NaN,4.59437544e+04,1.12536192e+04,2.11242469e+04,5.17784037e+04,3.19173025e+04,NaN,NaN,NaN,NaN,NaN,NaN,1.06369750e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1996Q1",NaN,NaN,3.80174745e+01,7.54620000e+01,2.03000000e+01,6.18000000e+00,6.18000000e+00,6.13000000e+00,6.30809729e+01,2.24000000e+01,1.10000000e+01,5.25000000e+00,4.22700000e+03,7.71570000e+03,2.00329000e+04,1.29576000e+04,1.55420000e+03,2.12280000e+03,4.39620000e+03,NaN,NaN,NaN,1.58526407e+02,1.31189040e+04,6.66540000e+03,1.11002369e+04,2.07500743e+04,5.19697596e+04,3.28052032e+04,1.75324639e+04,1.15636298e+04,3.45075631e+04,NaN,4.60711928e+04,1.11002369e+04,2.07500743e+04,5.19697596e+04,3.28052032e+04,NaN,NaN,NaN,NaN,NaN,NaN,1.07055750e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,NaN,-1.58572644e+01,-6.48395083e+00,-9.02756401e+00,NaN,8.61159930e+00,8.61159930e+00,6.42361111e+00,1.50599516e-01,1.95776418e+00,NaN,NaN,NaN,NaN,NaN,-9.30000000e+00,NaN,NaN,NaN,1.14000000e+01
"1996Q2",NaN,NaN,3.89588101e+01,7.57540000e+01,1.81800000e+01,6.13000000e+00,6.13000000e+00,6.05000000e+00,6.47873387e+01,2.30000000e+01,1.19000000e+01,5.00000000e+00,3.98900000e+03,7.47060000e+03,1.96546000e+04,1.32425000e+04,2.19790000e+03,2.11550000e+03,4.83910000e+03,NaN,NaN,NaN,1.54351146e+02,1.29680150e+04,7.08170000e+03,1.09754638e+04,2.04260757e+04,5.20520494e+04,3.34897620e+04,1.81774032e+04,1.24210673e+04,3.32864761e+04,NaN,4.57075433e+04,1.09754638e+04,2.04260757e+04,5.20520494e+04,3.34897620e+04,NaN,NaN,NaN,NaN,NaN,NaN,1.08114500e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,NaN,1.80826911e-01,-8.72291002e+00,-6.46379423e+00,NaN,6.42361111e+00,6.42361111e+00,2.71646859e+00,-8.17359966e-01,1.85411765e+00,NaN,NaN,NaN,NaN,5.66403394e+00,-6.28000000e+00,NaN,NaN,NaN,1.11000000e+01
"1996Q3",NaN,NaN,4.00145621e+01,7.61920000e+01,1.67700000e+01,6.05000000e+00,6.05000000e+00,6.00000000e+00,6.69540349e+01,2.27000000e+01,1.16000000e+01,6.09000000e+00,3.87100000e+03,7.43450000e+03,2.00448000e+04,1.35055000e+04,2.02280000e+03,2.07910000e+03,5.65210000e+03,NaN,NaN,NaN,1.49356197e+02,1.25785550e+04,7.62180000e+03,1.07738501e+04,1.99678042e+04,5.15604190e+04,3.38972004e+04,1.90475657e+04,1.41251077e+04,3.14349435e+04,NaN,4.55600512e+04,1.07738501e+04,1.99678042e+04,5.15604190e+04,3.38972004e+04,NaN,NaN,NaN,NaN,NaN,NaN,1.09195000e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,Inf,NaN,3.21172270e+00,-1.13093582e+01,-7.26430331e+00,NaN,2.71646859e+00,2.71646859e+00,1.18043845e+00,-5.32355391e+00,1.90183229e+00,NaN,NaN,NaN,NaN,3.80202478e+00,-5.17000000e+00,NaN,NaN,NaN,1.11000000e+01
"1996Q4",NaN,NaN,4.09714999e+01,7.65030000e+01,7.61000000e+00,6.00000000e+00,6.00000000e+00,6.00000000e+00,6.87558464e+01,2.24000000e+01,1.10000000e+01,6.26000000e+00,4.81980000e+03,9.09900000e+03,2.20286000e+04,1.40072000e+04,2.17730000e+03,2.07490000e+03,5.09300000e+03,NaN,NaN,NaN,1.45442177e+02,1.24494000e+04,7.95220000e+03,1.06988389e+04,2.00645961e+04,5.17507622e+04,3.40033579e+04,1.94091015e+04,1.24305920e+04,3.03855120e+04,NaN,4.28161040e+04,1.06988389e+04,2.00645961e+04,5.17507622e+04,3.40033579e+04,NaN,NaN,NaN,NaN,NaN,NaN,1.10382500e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,0.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.92979451e+00,-5.01627741e+00,-5.33842628e-02,6.53581357e+00,NaN,2.40857972e+00,-1.01167185e+01,-6.80756384e+00,1.05604857e+01,1.18043845e+00,1.18043845e+00,-2.91262136e+00,-5.74714259e+00,1.86139405e+00,3.77245410e+00,NaN,NaN,NaN,-9.80763842e-02,3.39000000e+00,NaN,NaN,NaN,1.14000000e+01
