"Variables ->","cpi","cpi_total","cpi_star","i","s","s_1","itcer","I_a","I_p","I_star","emision_n","m1_n","m2_n","credito_n","ingtrib_n","de_us","di_n","fao","lincred_n","prem","z","de_n","ingtrib_n_a","em","m1","m2","cred","ingtrib","di","de","lincred","d","consumo","gasto","fbkf","var_exist","expor","impor","pib","pib_pot","y_star","pet","y_gap","inversion","c","g","inv","x","imp","y","y_pot","ci","v_y","v_y_pot","v_c","v_inv","v_g","v_x","v_imp","v_ci","v_cpi","v_cpi_total","v_em","v_m1","v_m2","v_cred","v_lincred","v_di","v_de","v_d","v_ingtrib","v_s","v_s_1","v_z","v_fao","v_pet","v_cpi_star","v_y_star","E_v_cpi","v_fpi","r","R","E_v_s","term","uip","i_neu","stance","spread"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]"
"1995Q1",3.41013106e+01,3.41013106e+01,1.51400000e+02,9.96000000e+00,5.69000000e+00,5.76000000e+00,6.31759725e+01,2.04000000e+01,NaN,6.75000000e+00,4.00080000e+03,7.43130000e+03,1.77083000e+04,1.04117000e+04,1.37750000e+03,2.21150000e+03,4.68650000e+03,7.51346457e+01,NaN,NaN,1.58288026e+02,1.25834350e+04,NaN,1.17321004e+04,2.17918311e+04,5.19285027e+04,3.05316711e+04,NaN,1.37428736e+04,3.69001507e+04,NaN,5.06430243e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.87990000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Q2",3.53078843e+01,3.53078843e+01,1.52500000e+02,1.99000000e+01,5.76000000e+00,5.89000000e+00,6.42577930e+01,2.11000000e+01,NaN,6.17200000e+00,3.79140000e+03,7.22810000e+03,1.76965000e+04,1.10347000e+04,1.78160000e+03,2.23540000e+03,4.37770000e+03,7.50861697e+01,NaN,NaN,1.55623148e+02,1.28759040e+04,NaN,1.07381115e+04,2.04716316e+04,5.01205335e+04,3.12527930e+04,NaN,1.23986472e+04,3.64675036e+04,NaN,4.88661508e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93790000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Q3",3.58019555e+01,3.58019555e+01,1.53200000e+02,2.27400000e+01,5.89000000e+00,5.93000000e+00,6.33897008e+01,2.14000000e+01,NaN,5.96900000e+00,3.75220000e+03,7.30810000e+03,1.86386000e+04,1.15002000e+04,1.48270000e+03,2.15440000e+03,4.89970000e+03,7.82573934e+01,NaN,NaN,1.57754334e+02,1.26894160e+04,NaN,1.04804331e+04,2.04125722e+04,5.20602848e+04,3.21217091e+04,NaN,1.36855653e+04,3.54433601e+04,NaN,4.91289254e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.77760000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Q4",3.69617225e+01,3.69617225e+01,1.53500000e+02,2.44600000e+01,5.93000000e+00,6.18000000e+00,6.48043499e+01,2.22000000e+01,NaN,5.42578000e+00,4.45900000e+03,8.06540000e+03,1.95913000e+04,1.24794000e+04,1.84690000e+03,2.10710000e+03,4.48650000e+03,7.79995785e+01,NaN,NaN,1.54310629e+02,1.24951030e+04,6.48870000e+03,1.20638317e+04,2.18209527e+04,5.30042938e+04,3.37630369e+04,1.75551883e+04,1.21382330e+04,3.38055214e+04,NaN,4.59437544e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06369750e+04,1.76400000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1996Q1",3.80174745e+01,3.80174745e+01,1.55700000e+02,2.03000000e+01,6.18000000e+00,6.13000000e+00,6.30809729e+01,2.24000000e+01,1.10000000e+01,5.72266000e+00,4.22700000e+03,7.71570000e+03,2.00329000e+04,1.29576000e+04,1.55420000e+03,2.12280000e+03,4.39620000e+03,7.85842802e+01,NaN,NaN,1.58526407e+02,1.31189040e+04,6.66540000e+03,1.11185713e+04,2.02951408e+04,5.26939263e+04,3.40832740e+04,1.75324639e+04,1.15636298e+04,3.45075631e+04,NaN,4.60711928e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.07055750e+04,1.77080000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14839103e+01,1.14839103e+01,-5.22949104e+00,-6.86812516e+00,1.47399505e+00,1.16325203e+01,NaN,-1.58572644e+01,-6.48395083e+00,-9.02756401e+00,NaN,8.61159930e+00,6.42361111e+00,1.50599516e-01,4.59127003e+00,-5.80350019e+00,2.84015852e+00,NaN,NaN,1.83609770e+00,NaN,NaN,NaN,-9.30000000e+00,NaN,NaN,NaN,1.14000000e+01
"1996Q2",3.89588101e+01,3.89588101e+01,1.56700000e+02,1.81800000e+01,6.13000000e+00,6.05000000e+00,6.47873387e+01,2.30000000e+01,1.19000000e+01,6.12500000e+00,3.98900000e+03,7.47060000e+03,1.96546000e+04,1.32425000e+04,2.19790000e+03,2.11550000e+03,4.83910000e+03,8.04629628e+01,NaN,NaN,1.54351146e+02,1.29680150e+04,7.08170000e+03,1.02390191e+04,1.91756370e+04,5.04496928e+04,3.39910279e+04,1.81774032e+04,1.24210673e+04,3.32864761e+04,NaN,4.57075433e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.08114500e+04,1.77510000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03402563e+01,1.03402563e+01,-4.64786048e+00,-6.33068532e+00,6.56735427e-01,8.76156866e+00,NaN,1.80826911e-01,-8.72291002e+00,-6.46379423e+00,NaN,6.42361111e+00,2.71646859e+00,-8.17359966e-01,7.16083017e+00,-8.40084628e+00,2.75409836e+00,NaN,1.15819112e+01,2.11601664e+00,6.59808884e+00,1.14180888e+01,5.66403394e+00,-6.28000000e+00,NaN,NaN,NaN,1.11000000e+01
"1996Q3",4.00145621e+01,4.00145621e+01,1.57800000e+02,1.67700000e+01,6.05000000e+00,6.00000000e+00,6.69540349e+01,2.27000000e+01,1.16000000e+01,5.98828000e+00,3.87100000e+03,7.43450000e+03,2.00448000e+04,1.35055000e+04,2.02280000e+03,2.07910000e+03,5.65210000e+03,7.68580678e+01,NaN,NaN,1.49356197e+02,1.25785550e+04,7.62180000e+03,9.67397816e+03,1.85794861e+04,5.00937632e+04,3.37514627e+04,1.90475657e+04,1.41251077e+04,3.14349435e+04,NaN,4.55600512e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.09195000e+04,1.81170000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17664149e+01,1.17664149e+01,-7.69486287e+00,-8.98018173e+00,-3.77739308e+00,5.07368262e+00,NaN,3.21172270e+00,-1.13093582e+01,-7.26430331e+00,NaN,2.71646859e+00,1.18043845e+00,-5.32355391e+00,-1.78810660e+00,1.91831683e+00,3.00261097e+00,NaN,1.05165519e+01,1.25075246e+00,6.25344810e+00,1.21834481e+01,3.80202478e+00,-5.17000000e+00,NaN,NaN,NaN,1.11000000e+01
"1996Q4",4.09714999e+01,4.09714999e+01,1.58600000e+02,7.61000000e+00,6.00000000e+00,6.00000000e+00,6.87558464e+01,2.24000000e+01,1.10000000e+01,5.78906000e+00,4.81980000e+03,9.09900000e+03,2.20286000e+04,1.40072000e+04,2.17730000e+03,2.07490000e+03,5.09300000e+03,7.13653450e+01,NaN,NaN,1.45442177e+02,1.24494000e+04,7.95220000e+03,1.17637871e+04,2.22081203e+04,5.37656665e+04,3.41876671e+04,1.94091015e+04,1.24305920e+04,3.03855120e+04,NaN,4.28161040e+04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.10382500e+04,1.95310000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.08484593e+01,1.08484593e+01,-2.48714231e+00,1.77429275e+00,1.43643582e+00,1.25767783e+00,NaN,2.40857972e+00,-1.01167185e+01,-6.80756384e+00,1.05604857e+01,1.18043845e+00,-2.91262136e+00,-5.74714259e+00,-8.50547357e+00,1.07199546e+01,3.32247557e+00,3.77245410e+00,1.16756565e+01,6.92119849e-01,-4.06565651e+00,1.07243435e+01,-9.80763842e-02,3.39000000e+00,NaN,NaN,NaN,1.14000000e+01
