, cpi,cpi_total,cpi_star,i,s,s_1,itcer,I_a,I_p,I_star,emision_n,m1_n,m2_n,credito_n,ingtrib_n,de_us,di_n,fao,lincred_n,prem
.status,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
.name,IPC de Guatemala,IPC de Guatemala,CPI for All Urban Consumers (CPI-U),Tasa de Interés Líder de Polítca Monetaria,Tipo de Cambio Nominal,Tipo de Cambio Nominal Rezagado un Trimestre,Índice de Tipo de Cambio Efectivo Real,Tasa de Interés Activa,Tasa de Interés Pasiva,Tasas de Interés LIBOR a un año plazo,Emisión Monetaria,Medio Circulante,Medios de Pago Totales,Crédito Bancario al Sector Privado,Ingresos Tributarios,Deuda Externa en Dólares,Deuda Interna,Índice de Precios de Alimentos,Líneas de Crédito Provenientes del Extranjero,Prima por Riesgo País
.src_hist,INE,INE,U.S. Bureau Of Labor Statistics,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Departamento de Análisis Macroeconómico y Pronóstico,Banco de Guatemala,Banco de Guatemala,MoneyCafe,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Ministerio de Finanzas - Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,FAO,Departamento de Análisis Macroeconómico y Pronóstico,Bloomberg
.src_hist_mmdate,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04
.src_anch,,,,,,,,,,,,,,,,,,,,
.src_anch_mmdate,,,,,,,,,,,,,,,,,,,,
.endhist,2022M04,2022M04,2022M04,2022M04,2022M04,2022M01,2022M03,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M03,2022M03,2022M03,2022M04,2022M04,2022M04
1995M01,34.0493031,34.0493031,150.3,13.17,5.74,5.73,63.07302786,20.1,,7.25,3912.6,7379.9,17301.1,9836,434.5,2147.5,4400.4,72.86454693,,
1995M02,33.93488662,33.93488662,150.9,19.54,5.72,5.74,62.83127445,20.3,,6.75,3981.9,7268.6,17216.4,10090.8,447.3,2142.3,4551,74.43162319,,
1995M03,34.10131059,34.10131059,151.4,9.96,5.69,5.76,63.17597254,20.4,,6.75,4000.8,7431.3,17708.3,10411.7,495.7,2211.5,4686.5,75.13464572,,
1995M04,34.36134803,34.36134803,151.9,28.12,5.73,5.77,63.04109523,20.6,,6.563,3955.2,7289.8,17235.9,10610.7,509.6,2220,4697.6,73.9766316,,
1995M05,34.86582068,34.86582068,152.2,15.23,5.74,5.81,63.78483165,21.3,,6.055,3805,7108.3,17245.3,10836.3,816.5,2210.8,4527,73.99241215,,
