,v_cpi_sub,v_cpi_nosub,cpi,cpi_star,i_endo,s_endo,s,s_1,itcer,I_a,I_p,I_star,emision_n,m1_n,m2_n,credito_n,ingtrib_n,de_us,di_n,lincred_n,prem_endo,prem
Comment,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada
1995M01,,,34.0493031,73.711,13.17,5.74,5.74,5.73,63.07302786,20.1,,5.86,3912.6,7379.9,17301.1,9836,434.5,2147.5,4400.4,,,
1995M02,,,33.93488662,73.831,19.54,5.72,5.72,5.74,62.83127445,20.3,,6.1,3981.9,7268.6,17216.4,10090.8,447.3,2142.3,4551,,,
1995M03,,,34.10131059,74.013,9.96,5.69,5.69,5.76,63.17597254,20.4,,6.3,4000.8,7431.3,17708.3,10411.7,495.7,2211.5,4686.5,,,
1995M04,,,34.36134803,74.184,28.12,5.73,5.73,5.77,63.04109523,20.6,,6.06,3955.2,7289.8,17235.9,10610.7,509.6,2220,4697.6,,,
1995M05,,,34.86582068,74.311,15.23,5.74,5.74,5.81,63.78483165,21.3,,6.17,3805,7108.3,17245.3,10836.3,816.5,2210.8,4527,,,
1995M06,,,35.30788434,74.375,19.9,5.76,5.76,5.89,64.25779296,21.1,,6.11,3791.4,7228.1,17696.5,11034.7,455.5,2235.4,4377.7,,,
1995M07,,,35.38589557,74.493,13.01,5.77,5.77,5.96,64.25886432,21.4,,5.97,3873.3,7293.4,18004.1,11149.9,534.6,2203.3,4631.7,,,
1995M08,,,35.59912627,74.671,7.55,5.81,5.81,6,64.01543647,21.4,,5.93,3762.7,7335.2,18232.9,11309.4,537.8,2141.9,4826.9,,,
1995M09,,,35.80195548,74.77,22.74,5.89,5.89,5.93,63.38970075,21.4,,6.2,3752.2,7308.1,18638.6,11500.2,410.3,2154.4,4899.7,,,
1995M10,,,36.30122738,74.952,30.69,5.96,5.96,6.1,63.34054453,21.7,,5.97,3841.6,7341.6,18467.8,11868.1,593.5,2141.6,4610.2,,,
1995M11,,,36.77969628,75,26.39,6,6,6.17,63.75840406,21.9,,6.11,3952,7316.5,18238.5,12176.9,719.7,2129.4,4520.7,,,
1995M12,,,36.96172249,75.105,24.46,5.93,5.93,6.18,64.8043499,22.2,,4.73,4459,8065.4,19591.3,12479.4,533.7,2107.1,4486.5,,,
1996M01,,,37.37258165,75.19,22.59,6.1,6.1,6.14,63.37222363,22.2,10.3,5.71,4139.8,7900.5,19507.2,12671.3,590,2141.4,4254,,,
