,consumo,gasto,fbkf,var_exist,expor,impor,pib,y_star,pet,pib_pot,y_gap
.status,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
.name,Consumo Real,Gasto Real,Formación Bruta de Capital Fijo Real,Variación de Existencias Reales,Exportaciones Reales,Importaciones Reales,PIB Real,PIB Real de los Estados Unidos,Precio del Petróleo WTI,PIB Potencial,Brecha del Producto
.src_hist,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,FRED,FRED,Departamento de Análisis Macroeconímico Y Pronóstico,Departamento de Análisis Macroeconímico Y Pronóstico
.src_hist_mmdate,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04
.src_anch,,,,,,,,,,,
.src_anch_mmdate,,,,,,,,,,,
.endhist,2021Q4,2021Q4,2021Q4,2021Q4,2021Q4,2021Q4,2021Q4,2022Q1,2022Q1,2021Q4,2021Q4
1995Q1,,,,,,,,,18.799,,
1995Q2,,,,,,,,,19.379,,
1995Q3,,,,,,,,,17.776,,
1995Q4,,,,,,,,10636.975,17.64,,
1996Q1,,,,,,,,10705.575,17.708,,
1996Q2,,,,,,,,10811.45,17.751,,
1996Q3,,,,,,,,10919.5,18.117,,
1996Q4,,,,,,,,11038.25,19.531,,
1997Q1,,,,,,,,11155,21.013,,
1997Q2,,,,,,,,11273.525,20.055,,
1997Q3,,,,,,,,11403.275,19.726,,
1997Q4,,,,,,,,11529.15,19.712,,
1998Q1,,,,,,,,11666.2,16.526,,
1998Q2,,,,,,,,11783.75,14.763,,
1998Q3,,,,,,,,11902.825,13.809,,
1998Q4,,,,,,,,12045.825,12.799,,
1999Q1,,,,,,,,12188.55,13.6,,
1999Q2,,,,,,,,12329.775,17.606,,
1999Q3,,,,,,,,12474.975,20.931,,
1999Q4,,,,,,,,12623.375,24.596,,
2000Q1,,,,,,,,12754.5,29.762,,
2000Q2,,,,,,,,12918.575,28.286,,
2000Q3,,,,,,,,13044.55,30.129,,
2000Q4,,,,,,,,13138.05,32.375,,
2001Q1,54832.43016,6418.575183,14106.60428,2475.484714,15560.27405,24335.15509,70050.9674,13209.05,29.655,70802.65894,-0.973025804
2001Q2,57071.18911,6805.868415,12331.09043,-135.9051345,17147.67273,25452.83004,66502.07599,13241.725,27.695,66981.5909,-0.690399754
2001Q3,56882.66149,6780.196209,12563.25972,1638.584897,15610.658,27288.20144,66295.39079,13257.775,25.451,66463.14572,-0.395124616
2001Q4,60616.21185,7607.154952,13195.75308,-54.66128004,16622.77053,29108.26471,71142.04399,13263.425,20.936,71227.33073,-0.094407492
2002Q1,56112.59884,6618.924653,14298.52817,119.6995474,17225.15679,23822.00642,72145.56429,13307.325,22.211,72086.98112,0.170933937
2002Q2,59624.70214,6187.447703,14630.94624,65.32638938,16321.25894,27849.99555,69888.95434,13351.325,26.027,69668.3941,0.342338733
2002Q3,59263.14497,7703.175321,13675.01999,3756.148342,16547.89495,27611.12598,70286.13046,13422.225,27.141,69920.27692,0.379409361
