,die_12,die_24,eee_12,eee_24
2014M07,3.9,4,4.24,4.41
2014M08,3.95,4,4.09,4.06
2014M09,3.95,4,4.24,4.13
2014M10,3.9,4,4.08,4.17
2014M11,3.75,4,4.16,4.16
2014M12,3.7,3.7,4.2,4.21
2015M01,3.38,3.75,3.75,3.89
2015M02,2.92,3.6,3.79,4.07
2015M03,3.05,3.55,3.82,4.11
2015M04,3.05,3.5,3.62,3.82
2015M05,3.05,3.5,3.46,3.57
2015M06,3.1,3.5,3.25,3.67
2015M07,3.09,3.48,3.16,3.56
2015M08,3,3.25,3.04,3.31
2015M09,2.75,3.3,3.06,3.4
2015M10,2.86,3.35,2.94,3.28
2015M11,2.73,3.28,3.02,3.37
2015M12,3.056132534,3.55,3.17,3.65
2016M01,3.6,3.8,3.62,3.8
2016M02,3.5,3.93,3.94,4.09
2016M03,3.64,3.94,3.99,3.99
2016M04,3.65,4,4.18,4.19
2016M05,3.63,3.79,4.15,4.16
2016M06,3.57,4,4.33,4.39
2016M07,3.8,4.1,4.28,4.41
2016M08,3.7,4,4.4,4.45
2016M09,3.7,3.9,4.43,4.42
2016M10,3.68,4.01,4.42,4.43
2016M11,3.78,4.02,4.67,4.6
2016M12,3.9,4,4.68,4.66
2017M01,4.1,4.1,4.42,4.4
2017M02,4.04,4.1,4.4,4.46
2017M03,4.16,4.25,4.22,4.28
2017M04,4.1,4.18,4.38,4.51
2017M05,4.15,4.14,4.2,4.17
2017M06,4.1,4.05,4.17,4.26
2017M07,4.14,4.09,4.33,4.48
2017M08,4.2,4.12,4.48,4.51
2017M09,4.35,4.23,4.6,4.75
2017M10,4.04,4.1,4.5,4.53
2017M11,4.1,4.1,4.49,4.63
2017M12,4.29,4.22,4.53,4.56
2018M01,4.54,4.48,4.88,4.71
2018M02,4.6,4.4,4.67,4.56
2018M03,4.38,4.35,4.55,4.62
2018M04,4.29,4.46,4.42,4.46
2018M05,4.15,4.2,4.31,4.48
2018M06,4.3,4.1,4.35,4.43
2018M07,4.2,4.2,4.26,4.36
2018M08,4.05,4.26,4.07,4.33
2018M09,4.15,4.2,4.12,4.32
2018M10,4.2,4.5,4.3,4.32
2018M11,4.1,4.4,4.44,4.47
2018M12,3.96,4.14,4.24,4.38
2019M01,3.76,4.08,4.03,4.07
2019M02,3.86,4.1,4.23,4.25
2019M03,3.84,4.15,4.34,4.35
2019M04,3.92,3.9,4.32,4.3
2019M05,3.96,4,4.42,4.39
2019M06,3.99,3.86,4.4,4.36
2019M07,3.8,3.75,4.57,4.6
2019M08,3.84,3.4,4.6,4.53
2019M09,3.81,3.43,4.33,4.34
2019M10,3.95,3.71,4.18,4.22
2019M11,3.63,3.58,4.05,4.25
2019M12,3.9,3.5,3.89,4.1
2020M01,3.74,3.45,4.07,4.11
2020M02,3.75,3.7,3.92,3.85
2020M03,3.33,3.45,3.86,3.99
2020M04,3.48,3.67,3.55,3.97
2020M05,3.8,3.87,3.78,3.96
2020M06,3,3.53,3.5,3.77
2020M07,3.32,3.58,3.49,3.9
2020M08,3.21,3.8,3.61,3.92
2020M09,3.5,3.67,3.81,3.99
2020M10,3.85,3.32,4.19,4.15
2020M11,4.15,3.5,4.49,4.27
2020M12,4.24,4.09,4.49,4.26
2021M01,4.22,3.95,4.33,4.12
2021M02,4.14,3.8,4.56,4.39
2021M03,4.21,3.85,4.6,4.34
2021M04,4.35,4,4.54,4.39
2021M05,4.35,4.17,4.54,4.41
2021M06,4.42,4.06,4.28,4.23
2021M07,4.43,4.08,4.3,4.12
2021M08,4.24,4.16,4.22,4.14
2021M09,4.31,4.51,4.21,4.2
2021M10,4.25,4.19,4.22,3.89
2021M11,4.45,4.21,4.17,4.08
2021M12,4.03,4,4.22,4.02
2022M01,4.04,3.84,4.2,4.09
2022M02,4.15,3.9,3.84,3.92
2022M03,4.143656,3.81,3.79,3.8
2022M04,4.067,3.8,4.14,3.94
2022M05,4.15,3.72,4.29,4.01
