,v_cpi
Comment,
2010M01,1.43
2010M02,2.484340163
2010M03,3.927621075
2010M04,3.754520315
2010M05,3.51
2010M06,4.069705664
2010M07,4.120326237
2010M08,4.096104996
2010M09,3.755522828
2010M10,4.51
2010M11,5.25
2010M12,5.39
2011M01,4.900634689
2011M02,5.24
2011M03,4.99
2011M04,5.761148129
2011M05,6.39
2011M06,6.42
2011M07,7.04
2011M08,7.63
2011M09,7.25
2011M10,6.65
2011M11,6.05
2011M12,6.2
2012M01,5.44
2012M02,5.17
2012M03,4.55
2012M04,4.27
2012M05,3.9
2012M06,3.47
2012M07,2.86
2012M08,2.71
2012M09,3.28
2012M10,3.35
2012M11,3.11
2012M12,3.45
2013M01,3.86
2013M02,4.18
2013M03,4.34
2013M04,4.13
2013M05,4.27
2013M06,4.79
2013M07,4.74
2013M08,4.42
2013M09,4.21
2013M10,4.15
2013M11,4.63
2013M12,4.39
2014M01,4.14
2014M02,3.5
2014M03,3.25
2014M04,3.27
2014M05,3.22
2014M06,3.13
2014M07,3.41
2014M08,3.7
2014M09,3.45
2014M10,3.64
2014M11,3.38
2014M12,2.95
2015M01,2.32
2015M02,2.44
2015M03,2.43
2015M04,2.58
2015M05,2.55
2015M06,2.39
2015M07,2.32
2015M08,1.96
2015M09,1.88
2015M10,2.23
2015M11,2.51
2015M12,3.07
2016M01,4.38
2016M02,4.27
2016M03,4.26
2016M04,4.09
2016M05,4.36
2016M06,4.43
2016M07,4.62
2016M08,4.74
2016M09,4.56
2016M10,4.76
2016M11,4.67
2016M12,4.23
2017M01,3.83
2017M02,3.96
2017M03,4
2017M04,4.09
2017M05,3.93
2017M06,4.36
2017M07,5.22
2017M08,4.72
2017M09,4.36
2017M10,4.2
2017M11,4.69
2017M12,5.68
2018M01,4.71
2018M02,4.15
2018M03,4.14
2018M04,3.92
2018M05,4.09
2018M06,3.79
2018M07,2.61
2018M08,3.36
2018M09,4.55
2018M10,4.34
2018M11,3.15
2018M12,2.31
2019M01,4.1
2019M02,4.46
2019M03,4.17
2019M04,4.75
2019M05,4.54
2019M06,4.8
2019M07,4.37
2019M08,3.01
2019M09,1.8
2019M10,2.17
2019M11,2.92
2019M12,3.41
2020M01,1.78
2020M02,1.24
2020M03,1.77
2020M04,1.88
2020M05,1.8
2020M06,2.39
2020M07,2.88
2020M08,4.19
2020M09,4.97
2020M10,5.34
2020M11,5.46
2020M12,4.82
2021M01,5.24
2021M02,6
2021M03,5.84
2021M04,5.2
2021M05,5.17
2021M06,3.91
2021M07,3.82
2021M08,3.62
2021M09,3.67
2021M10,2.96
2021M11,2.89
2021M12,3.07
2022M01,2.87
2022M02,2.98
2022M03,4.17
2022M04,4.62
