,prec_maiz,prec_trigo,prec_med_imp,cta_corr,pib_usd,ied,pce_min,pce_med,pce_max,imp_n,imp_r
Comment,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
1995Y,,,,,,,,,,,
1996Y,,,,,,,1.86139,1.86139,1.86139,,
1997Y,,,,,,,1.45092,1.45092,1.45092,,
1998Y,,,,,,,1.35287,1.35287,1.35287,,
1999Y,,,,,,,1.44032,1.44032,1.44032,,
2000Y,,,,,,,1.87102,1.87102,1.87102,,
2001Y,,,,,,,1.73824,1.73824,1.73824,60765.46531,106184.4513
2002Y,,,,,,,1.769,1.769,1.769,63308.39119,108264.54
2003Y,,,,,,,1.63845,1.63845,1.63845,68689.82807,108824.2849
2004Y,4.51,5.77,,,,,2.0656,2.0656,2.0656,76341.15048,115056.6902
2005Y,3.73,5.31,,,,,2.28035,2.28035,2.28035,81936.1167,114364.6083
2006Y,5.33,6.7,,,,,2.31574,2.31574,2.31574,94199.04076,121737.9769
2007Y,6.7,10.63,,,,,2.40451,2.40451,2.40451,107749.9978,131266.4646
2008Y,9.41,13.3,,-1553.57952,,737.61109,1.13715,1.13715,1.13715,114018.9945,123746.31
2009Y,6.67,8.83,,72.26114,,522.32412,1.51008,1.51008,1.51008,98406.79967,114210.7591
2010Y,7.63,9.68,,-766.95103,,658.31247,1.05559,1.05559,1.05559,115927.2027,125636.2678
2011Y,12.13,11.83,,-1579.82507,,1219.22906,1.97581,1.97581,1.97581,136020.4136,134392.9137
2012Y,12.39,12.5,,-1847.06274,,1270.14513,1.68903,1.68903,1.68903,140099.4799,138124.883
2013Y,10.35,11.4,,-2238.78113,52998.09209,1479.31272,1.65799,1.65799,1.65799,144431.1205,144431.1205
2014Y,7.43,9.81,,-1909.30637,57861.75389,1442.35365,1.46971,1.46971,1.46971,149133.7499,149298.7267
2015Y,6.72,8.46,,-773.78746,62179.36336,1230.89472,1.12869,1.12869,1.12869,143109.3376,154745.0868
2016Y,6.51,7.17,-15.3,637.2798,66034.95687,1174.37206,1.82841,1.82841,1.82841,138651.1064,156203.3376
2017Y,6.41,7.26,5.5,857.08004,71625.28116,1130.01766,1.72077,1.72077,1.72077,145181.1245,160615.7313
2018Y,6.57,8.25,9.7,649.56401,73329.19481,980.65193,2.05665,2.05665,2.05665,159027.5426,166922.8826
2019Y,6.84,8.24,-6,1821.28049,77153.8811,976.14102,1.63775,1.63775,1.63775,165746.5058,175317.5122
2020Y,6.36,9.09,-7.7,3832.3714,77620.25982,931.8227,1.48018,1.48018,1.48018,148835.2154,165341.008
2021Y,10.39,12.87,15.6,2177.28946,85970.52378,3471.66349,4.89807,4.89807,4.89807,213292.7382,201857.5028
2022Y,12.41,15.7,24.4,,91879.19595,,3.6,4.1,4.5,,
2023Y,12.83,16.26,,,96980.68134,,2.1,2.6,3.5,,
2024Y,,,,,102181.1739,,2,2.3,3,,
2025Y,,,,,107675.7189,,,,,,
2026Y,,,,,113675.4302,,,,,,
2027Y,,,,,120015.2301,,,,,,
