,I_star,lincred_n_u,pas_ext,rem_fam,cpi_star,cpi_us_cs,cpi_mex,cpi_corea,cpi_elsalv,cpi_china,cpi_pan,cpi_costar,cpi_jap,s,tipo_cambio,cpi_us,cpi_us_core,ind_prec_expus,ind_prec_impus,alph,pce_us,pce_us_core,tc_yua,tc_eur,tc_yen,tc_les,tc_us_deg,pet_mensual,energy,non_energy,agric,bvrg,food,oils_meals,grains,other_foods,raw_mat,fert,met_min,prec_met,fao_u,fao_meat,fao_dairy,fao_cereal,fao_oil,fao_sugar,cons_usd,mp_usd,cyl_usd,mc_usd,mee_usd,div_usd,cons_kg,mp_kg,cyl_kg,mc_kg,mee_kg,div_kg,imp_no_pet,v_imp_no_pet,expor_val,expor_vol,impor_val,impor_vol
Comment,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
1995M01,7.25,,,26.359,,86.37931034,31.8313646,,76.88558395,,,49.20533386,98.89779559,5.74,,2.8708134,2.91262136,101.9,98.7,,2.32143,2.3508,,,,,,18.04,23.41087344,60.6355293,66.19000502,74.17210023,59.86472695,59.2389491,60.23215233,60.35542369,77.49892642,43.09939007,51.23482808,29.37200905,72.86454693,78.57648274,58.92508255,62.87138949,82.6566412,91.34343727,,,,,,,,,,,,,,,,,,
1995M02,6.75,,,26.7677,,86.72413793,33.18045966,,77.72292695,,,49.9335728,98.59719439,5.72,,2.86298569,2.97157623,102.5,99.4,,2.26574,2.29726,,,,,,18.57,24.08170178,60.2279984,66.99367206,74.22454392,61.23295813,59.12644154,60.20092635,64.9384186,77.31293184,45.63148926,48.00964372,29.20235835,74.43162319,83.10597944,61.14814825,62.51428596,82.66991005,89.17743435,,,,,,,,,,,,,,,,,,
1995M03,6.75,,,37.6008,,87.01149425,35.1364841,,78.59151409,,,50.3468976,98.49699399,5.69,,2.78721958,2.96200901,103,99.9,,2.17204,2.19967,,,,,,18.54,23.9890355,59.85528225,67.03892876,76.73448344,60.61125406,59.52567834,60.87953389,61.79659955,77.72536631,47.59927423,46.51405551,29.48781355,75.13464572,84.13548318,61.79228126,62.16595537,84.41751062,90.29137871,,,,,,,,,,,,,,,,,,
1995M04,6.563,,,35.291,,87.29885057,37.9362797,,79.0789227,,,50.63228854,98.79759519,5.73,,3.125,3.1511254,104,100.9,,2.32129,2.28326,,,,,,19.9,25.45580325,59.80901496,66.60850035,75.50562548,59.39363435,57.47885915,60.39267121,61.00842911,79.61345702,49.56705919,47.0270151,30.89667835,73.9766316,84.92706871,61.13616554,62.65185504,77.93804109,84.78354272,,,,,,,,,,,,,,,,,,
1995M05,6.055,,,41.5313,,87.47126437,39.52186004,,79.64131725,,,51.07513654,98.99799599,5.74,,3.11864407,3.07889673,104.3,101.8,,2.3308,2.23002,,,,,,19.74,25.32743529,58.98304527,66.59409315,74.96878499,59.56986546,56.86119298,62.8598047,60.15550825,79.40152958,42.98392403,45.19018583,30.58247192,73.99241215,83.78647926,61.23968675,64.90775656,76.78877539,83.66959836,,,,,,,,,,,,,,,,,,
1995M06,6.172,,,38.0563,,87.64367816,40.77618272,,80.3349372,,,51.83781922,98.89779559,5.76,,3.04259635,3.00511509,104.5,101.4,,2.18105,2.09194,,,,,,18.45,24.27366432,59.02967023,66.42389144,70.32309423,61.79216734,57.88744777,68.15746306,61.16767954,75.69429074,33.10922128,46.80769608,30.5492945,75.08616968,80.96634968,61.23968675,69.1448433,80.32960833,86.76388824,,,,,,,,,,,,,,,,,,
1995M07,5.875,,,40.1868,,87.64367816,41.60744632,,82.42829469,,,52.71367416,98.39679359,5.77,,2.83018868,2.99936184,104.8,101.1,,1.98649,2.03961,,,,,,17.33,22.71184469,60.30642984,67.54489585,67.18053832,65.25717073,60.2887451,73.42766266,64.39812453,73.28834116,33.42935612,48.51247387,30.26798701,79.52227401,87.40559937,64.56384769,74.0135177,83.96209046,84.10279895,,,,,,,,,,,,,,,,,,
1995M08,5.954,,,39.3391,,87.87356322,42.29759118,,82.99693807,,,53.29921764,98.49699399,5.81,,2.61744966,2.99172502,104.3,100.8,,1.97344,2.16868,,,,,,18.02,23.26950438,59.75922308,66.55995514,70.05134385,63.81154689,58.48079098,72.03407029,63.38208443,71.46208284,33.42935612,48.80087046,30.307745,78.04801809,87.07668747,64.33761997,72.64226758,79.94609576,80.32776529,,,,,,,,,,,,,,,,,,
1995M09,5.969,,,28.7152,,88.04597701,43.1725273,,84.09673186,,,54.28824485,99.09819639,5.89,,2.54521098,2.98412698,104.4,100.8,,1.92872,2.149,,,,,,18.23,23.74431418,58.72090695,66.1918562,64.80952532,64.39972249,59.01153312,75.20874458,61.70466267,71.24885113,33.42935612,46.27018764,30.30718208,78.25739342,88.4255304,64.27996141,75.9088673,76.28323143,72.3444974,,,,,,,,,,,,,,,,,,
