date;CPI;target
1/01/1946;1.27;
1/02/1946;1.27;
1/03/1946;1.31;
1/04/1946;1.34;
1/05/1946;1.37;
1/06/1946;1.37;
1/07/1946;1.39;
1/08/1946;1.38;
1/09/1946;1.43;
1/10/1946;1.38;
1/11/1946;1.4;
1/12/1946;1.37;
1/01/1947;1.38;
1/02/1947;1.41;
1/03/1947;1.43;
1/04/1947;1.4;
1/05/1947;1.4;
1/06/1947;1.39;
1/07/1947;1.4;
1/08/1947;1.4;
1/09/1947;1.4;
1/10/1947;1.4;
1/11/1947;1.39;
1/12/1947;1.4;
1/01/1948;1.41;
1/02/1948;1.43;
1/03/1948;1.45;
1/04/1948;1.49;
1/05/1948;1.52;
1/06/1948;1.57;
1/07/1948;1.58;
1/08/1948;1.61;
1/09/1948;1.6;
1/10/1948;1.66;
1/11/1948;1.72;
1/12/1948;1.74;
1/01/1949;1.7;
1/02/1949;1.7;
1/03/1949;1.7;
1/04/1949;1.7;
1/05/1949;1.72;
1/06/1949;1.73;
1/07/1949;1.72;
1/08/1949;1.71;
1/09/1949;1.71;
1/10/1949;1.78;
1/11/1949;1.77;
1/12/1949;1.74;
1/01/1950;1.72;
1/02/1950;1.75;
1/03/1950;1.72;
1/04/1950;1.71;
1/05/1950;1.75;
1/06/1950;1.77;
1/07/1950;1.78;
1/08/1950;1.77;
1/09/1950;1.79;
1/10/1950;1.83;
1/11/1950;1.83;
1/12/1950;1.8;
1/01/1951;1.79;
1/02/1951;1.82;
1/03/1951;1.87;
1/04/1951;1.9;
1/05/1951;1.93;
1/06/1951;2.04;
1/07/1951;2.12;
1/08/1951;2.09;
1/09/1951;2.03;
1/10/1951;2.02;
1/11/1951;1.96;
1/12/1951;1.9;
1/01/1952;1.89;
1/02/1952;1.87;
1/03/1952;1.86;
1/04/1952;1.87;
1/05/1952;1.89;
1/06/1952;1.86;
1/07/1952;1.87;
1/08/1952;1.84;
1/09/1952;1.83;
1/10/1952;1.83;
1/11/1952;1.84;
1/12/1952;1.85;
1/01/1953;1.87;
1/02/1953;1.84;
1/03/1953;1.89;
1/04/1953;1.85;
1/05/1953;1.89;
1/06/1953;1.92;
1/07/1953;1.97;
1/08/1953;1.93;
1/09/1953;1.9;
1/10/1953;1.92;
1/11/1953;1.91;
1/12/1953;1.92;
1/01/1954;1.92;
1/02/1954;1.98;
1/03/1954;2.02;
1/04/1954;2.08;
1/05/1954;2.16;
1/06/1954;2.16;
1/07/1954;2.17;
1/08/1954;2.09;
1/09/1954;2.06;
1/10/1954;2.12;
1/11/1954;2.1;
1/12/1954;2.09;
1/01/1955;2.11;
1/02/1955;2.11;
1/03/1955;2.09;
1/04/1955;2.1;
1/05/1955;2.11;
1/06/1955;2.19;
1/07/1955;2.3;
1/08/1955;2.19;
1/09/1955;2.1;
1/10/1955;2.07;
1/11/1955;2.05;
1/12/1955;2.03;
1/01/1956;2.04;
1/02/1956;2.02;
1/03/1956;2.04;
1/04/1956;2.03;
1/05/1956;2.05;
1/06/1956;2.05;
1/07/1956;2.05;
1/08/1956;2.02;
1/09/1956;2.02;
1/10/1956;2.01;
1/11/1956;2.02;
1/12/1956;2;
1/01/1957;1.96;
1/02/1957;1.96;
1/03/1957;1.97;
1/04/1957;1.97;
1/05/1957;1.98;
1/06/1957;1.99;
1/07/1957;2;
1/08/1957;1.97;
1/09/1957;1.97;
1/10/1957;1.96;
1/11/1957;1.95;
1/12/1957;1.93;
1/01/1958;1.92;
1/02/1958;1.92;
1/03/1958;1.92;
1/04/1958;1.92;
1/05/1958;1.93;
1/06/1958;1.94;
1/07/1958;1.97;
1/08/1958;1.95;
1/09/1958;1.93;
1/10/1958;1.93;
1/11/1958;1.93;
1/12/1958;1.92;
1/01/1959;1.91;
1/02/1959;1.9;
1/03/1959;1.91;
1/04/1959;1.92;
1/05/1959;1.93;
1/06/1959;1.95;
1/07/1959;1.96;
1/08/1959;1.95;
1/09/1959;1.92;
1/10/1959;1.93;
1/11/1959;1.92;
1/12/1959;1.91;
1/01/1960;1.88;
1/02/1960;1.9;
1/03/1960;1.88;
1/04/1960;1.91;
1/05/1960;1.92;
1/06/1960;1.92;
1/07/1960;1.91;
1/08/1960;1.89;
1/09/1960;1.87;
1/10/1960;1.87;
1/11/1960;1.86;
1/12/1960;1.85;
1/01/1961;1.85;
1/02/1961;1.84;
1/03/1961;1.84;
1/04/1961;1.83;
1/05/1961;1.84;
1/06/1961;1.86;
1/07/1961;1.87;
1/08/1961;1.85;
1/09/1961;1.85;
1/10/1961;1.83;
1/11/1961;1.87;
1/12/1961;1.87;
1/01/1962;1.85;
1/02/1962;1.85;
1/03/1962;1.87;
1/04/1962;1.88;
1/05/1962;1.9;
1/06/1962;1.91;
1/07/1962;1.92;
1/08/1962;1.9;
1/09/1962;1.87;
1/10/1962;1.86;
1/11/1962;1.84;
1/12/1962;1.85;
1/01/1963;1.84;
1/02/1963;1.85;
1/03/1963;1.85;
1/04/1963;1.86;
1/05/1963;1.85;
1/06/1963;1.85;
1/07/1963;1.85;
1/08/1963;1.85;
1/09/1963;1.84;
1/10/1963;1.84;
1/11/1963;1.85;
1/12/1963;1.85;
1/01/1964;1.85;
1/02/1964;1.86;
1/03/1964;1.88;
1/04/1964;1.89;
1/05/1964;1.89;
1/06/1964;1.91;
1/07/1964;1.93;
1/08/1964;1.92;
1/09/1964;1.9;
1/10/1964;1.9;
1/11/1964;1.9;
1/12/1964;1.89;
1/01/1965;1.88;
1/02/1965;1.88;
1/03/1965;1.89;
1/04/1965;1.9;
1/05/1965;1.91;
1/06/1965;1.92;
1/07/1965;1.92;
1/08/1965;1.9;
1/09/1965;1.89;
1/10/1965;1.86;
1/11/1965;1.86;
1/12/1965;1.87;
1/01/1966;1.86;
1/02/1966;1.86;
1/03/1966;1.88;
1/04/1966;1.88;
1/05/1966;1.88;
1/06/1966;1.87;
1/07/1966;1.86;
1/08/1966;1.86;
1/09/1966;1.84;
1/10/1966;1.87;
1/11/1966;1.87;
1/12/1966;1.87;
1/01/1967;1.88;
1/02/1967;1.88;
1/03/1967;1.9;
1/04/1967;1.91;
1/05/1967;1.92;
1/06/1967;1.94;
1/07/1967;1.93;
1/08/1967;1.94;
1/09/1967;1.91;
1/10/1967;1.93;
1/11/1967;1.93;
1/12/1967;1.9;
1/01/1968;1.89;
1/02/1968;1.9;
1/03/1968;1.9;
1/04/1968;1.91;
1/05/1968;1.92;
1/06/1968;1.91;
1/07/1968;1.92;
1/08/1968;1.9;
1/09/1968;1.88;
1/10/1968;1.87;
1/11/1968;1.87;
1/12/1968;1.87;
1/01/1969;1.88;
1/02/1969;1.88;
