month;cpi;cpi_usa;i_pm;ner_gt;pce_us;pce_us_core;imae_tc;v_cpi_core;target
1/01/1995;34.0493031;150.3;13.17;5.74;2.32143;2.3508;;;9
1/02/1995;33.93488662;150.9;19.54;5.72;2.26574;2.29726;;;9
1/03/1995;34.10131059;151.4;9.96;5.69;2.17204;2.19967;;;9
1/04/1995;34.36134803;151.9;28.12;5.73;2.32129;2.28326;;;9
1/05/1995;34.86582068;152.2;15.23;5.74;2.3308;2.23002;;;9
1/06/1995;35.30788434;152.5;19.9;5.76;2.18105;2.09194;;;9
1/07/1995;35.38589557;152.5;13.01;5.77;1.98649;2.03961;;;9
1/08/1995;35.59912627;152.9;7.55;5.81;1.97344;2.16868;;;9
1/09/1995;35.80195548;153.2;22.74;5.89;1.92872;2.149;;;9
1/10/1995;36.30122738;153.7;30.69;5.96;2.02167;2.15759;;;9
1/11/1995;36.77969628;153.6;26.39;6;1.82437;2.03665;;;9
1/12/1995;36.96172249;153.5;24.46;5.93;1.95301;2.14476;;;9
1/01/1996;37.37258165;154.4;22.59;6.1;1.97443;2.00648;;;9
1/02/1996;37.6118161;154.9;23.23;6.17;1.95406;1.97343;;;9
1/03/1996;38.01747452;155.7;20.3;6.18;2.07395;1.95776;;;9
1/04/1996;38.46473892;156.3;19.68;6.14;2.11048;1.86159;;;9
1/05/1996;38.70917412;156.6;23.25;6.09;2.12959;1.86379;;;9
1/06/1996;38.95881007;156.7;18.18;6.13;2.02839;1.85412;;;9
1/07/1996;39.48928646;157;19.9;6.1;2.1179;1.88474;;;9
1/08/1996;39.87934263;157.3;14.39;6.07;1.99368;1.72892;;;9
1/09/1996;40.0145621;157.8;16.77;6.05;2.212;1.90183;;;9
1/10/1996;40.16538382;158.3;8.04;6.06;2.25618;1.89588;;;9
1/11/1996;40.61784897;158.6;19.84;6.01;2.44068;1.964;;;9
1/12/1996;40.9714999;158.6;7.61;6;2.36266;1.86139;;;9
1/01/1997;41.41356355;159.1;2.09;6.06;2.26764;1.85397;;;9
1/02/1997;42.3757021;159.6;2.48;6.1;2.32199;1.92992;;;9
1/03/1997;42.39130435;160;6.19;6;2.12117;1.93872;;;9
1/04/1997;42.3653006;160.2;3.24;6;1.91609;1.99828;;;9
1/05/1997;42.43291034;160.1;8.04;5.98;1.6925;1.89574;;;9
1/06/1997;42.45371333;160.3;8.34;5.93;1.82525;1.96821;;;9
1/07/1997;42.6409403;160.5;1.67;5.96;1.66983;1.84461;;;9
1/08/1997;43.0882047;160.8;1.81;6.08;1.65598;1.71796;;;9
1/09/1997;43.34824215;161.2;10.61;6.11;1.61459;1.62091;;;9
1/10/1997;43.57187435;161.6;2.41;6.15;1.43884;1.53457;;;9
1/11/1997;43.72789682;161.5;6.02;6.22;1.26301;1.43188;;;9
1/12/1997;43.88912003;161.3;18.17;6.19;1.12499;1.45092;;;9
1/01/1998;44.42999792;161.6;3.48;6.26;1.04386;1.49901;;;7
1/02/1998;44.68483462;161.9;27.37;6.22;0.78024;1.37736;;;7
1/03/1998;44.97607656;162.2;4.36;6.27;0.69057;1.24277;;;7
1/04/1998;45.30372374;162.5;4.74;6.29;0.71545;1.23127;;;7
1/05/1998;45.53775744;162.8;12.86;6.28;0.90146;1.2563;;;7
1/06/1998;45.60536717;163;6;6.31;0.68664;0.98;;;7
1/07/1998;45.74578739;163.2;13.74;6.35;0.87559;1.19668;;;7
1/08/1998;45.80819638;163.4;13.01;6.4;0.93393;1.43399;;;7
1/09/1998;45.73018515;163.6;28.59;6.49;0.63183;1.2063;;;7
1/10/1998;45.7353859;164;21.48;6.57;0.72192;1.2496;;;7
1/11/1998;46.94716039;164;34.67;6.57;0.72322;1.23762;;;7
1/12/1998;47.17079259;163.9;12.79;6.73;0.84506;1.35287;;;7
1/01/1999;47.22280008;164.3;16.83;6.98;0.93819;1.34308;;;6
1/02/1999;46.99396713;164.5;37.33;6.88;0.93198;1.2224;;;6
1/03/1999;46.77553568;165;18.81;6.98;0.99199;1.14534;;;6
1/04/1999;46.87955066;166.2;7.16;7.07;1.3553;1.21886;;;6
1/05/1999;47.23320158;166.2;9.51;7.27;1.28144;1.21767;;;6
1/06/1999;47.52964427;166.2;18.03;7.36;1.39862;1.3974;;;6
1/07/1999;48.13293114;166.7;16.42;7.39;1.41781;1.29503;;;6
1/08/1999;48.56979405;167.1;19.51;7.66;1.46105;1.14577;;;6
1/09/1999;48.83503224;167.9;40.68;7.78;1.88491;1.43183;;;6
1/10/1999;49.19908467;168.2;30.17;7.81;1.83433;1.40739;;;6
1/11/1999;49.36030788;168.3;37.68;7.77;1.9205;1.48609;;;6
1/12/1999;49.49032661;168.3;28.36;7.67;2.05516;1.44032;;;6
1/01/2000;49.71395881;168.8;26.53;7.88;2.18862;1.53727;;;6
1/02/2000;50.10401498;169.8;22.66;7.79;2.56743;1.7232;;;6
1/03/2000;50.64489286;171.2;17.32;7.72;2.93086;1.9004;;;6
1/04/2000;51.12856251;171.3;14.32;7.71;2.35028;1.70687;;;6
1/05/2000;50.7125026;171.5;12.75;7.7;2.36982;1.71788;;;6
1/06/2000;50.9673393;172.4;12.17;7.73;2.68495;1.74227;;;6
1/07/2000;51.08695652;172.8;10.13;7.75;2.66864;1.79088;;;6
1/08/2000;50.85812357;172.8;9.63;7.75;2.47645;1.87201;;;6
1/09/2000;50.93093405;173.7;8.95;7.8;2.54854;1.84945;;;6
1/10/2000;51.08695652;174;10.3;7.82;2.51424;1.81866;;;6
1/11/2000;51.4250052;174.1;15.79;7.77;2.56537;1.901;;;6
1/12/2000;52.00748908;174;7.81;7.73;2.48538;1.87102;;;6
1/01/2001;52.71999168;175.1;5.72;7.8;2.70148;2.00658;65.303944;;5
1/02/2001;53.1048471;175.8;6.24;7.74;2.53933;2.0348;65.25611013;;5
1/03/2001;53.39088829;176.2;5.4;7.7;2.10919;1.93223;65.18680208;;5
1/04/2001;53.61972124;176.9;4.42;7.75;2.37354;2.02682;65.06368756;;5
1/05/2001;53.78094446;177.7;5.05;7.77;2.55675;1.94132;64.87068371;;5
1/06/2001;54.17620137;178;4.98;7.8;2.39173;2.09271;64.74373821;;5
1/07/2001;54.64946952;177.5;4.83;7.8;2.10193;2.12265;64.87814544;;5
1/08/2001;55.33076763;177.5;4.83;7.85;2.09567;2.04193;65.3370903;;5
1/09/2001;55.50759309;178.3;4.63;7.95;1.3139;1.21799;65.98874239;;5
1/10/2001;55.92365301;177.7;4.47;8.11;1.53207;1.78741;66.64497856;;5
1/11/2001;56.31370917;177.4;4.93;8.08;1.3217;1.81382;67.14895687;;5
1/12/2001;56.64135636;176.7;4.52;7.96;1.06233;1.73824;67.4632503;;5
1/01/2002;57.38506345;177.1;4.53;8.02;0.66612;1.41926;67.61120385;7.373404765;5
1/02/2002;57.88953609;177.8;4.23;7.94;0.67768;1.43266;67.7497105;7.676758638;5
1/03/2002;58.26399001;178.8;5.25;7.91;0.94338;1.44828;67.87927017;7.693315199;5
1/04/2002;58.5812357;179.8;4.56;7.82;1.18817;1.57045;68.0427473;7.731780705;5
1/05/2002;58.78926565;179.8;4.31;7.87;0.98817;1.66036;68.20102316;7.522233336;5
1/06/2002;59.12731433;179.9;4.39;7.9;0.93509;1.59335;68.32736088;7.240797695;5
1/07/2002;59.62138548;180.1;4.11;7.86;1.19212;1.53704;68.47367309;6.947856628;5
1/08/2002;59.60578323;180.7;4.91;7.77;1.40392;1.68798;68.67910377;6.380870643;5
1/09/2002;59.44976077;181;4.45;7.78;1.93272;2.43474;68.94398234;6.130044822;5
1/10/2002;59.61618473;181.3;4.47;7.73;1.75939;1.8045;69.24034575;5.806330033;5
1/11/2002;59.88662367;181.3;5.4;7.61;1.92975;1.69805;69.55021986;5.640975795;5
1/12/2002;60.22467235;180.9;2.22;7.65;2.13244;1.769;69.86922845;5.496813359;5
1/01/2003;60.9423757;181.7;1.03;7.8;2.34482;1.78006;70.12412931;4.888725782;5
1/02/2003;61.36363636;183.1;4.13;7.83;2.60616;1.72724;70.33491149;4.576306056;5
1/03/2003;61.62887456;184.2;1.41;7.91;2.58909;1.76855;70.43845976;4.533351886;5
1/04/2003;61.90451425;183.8;0.87;7.91;1.98934;1.59783;70.43911071;4.631392249;5
1/05/2003;62.06053672;183.5;0.82;7.9;1.80676;1.63085;70.34008065;4.803749507;5
1/06/2003;62.22696068;183.7;1.1;7.92;1.78837;1.52762;70.26698811;4.878926144;5
1/07/2003;62.39338465;183.9;1.48;7.92;1.86239;1.57476;70.29070447;4.812360105;5
1/08/2003;62.56500936;184.6;1.4;7.92;2.00571;1.48931;70.39838054;4.612449795;5
1/09/2003;62.82504681;185.2;1.45;7.98;2.1414;1.46544;70.5329523;4.626725667;5
1/10/2003;63.09548575;185;1.71;8.1;1.96894;1.56538;70.60802704;4.679187585;5
1/11/2003;63.38152694;184.5;1.96;8.08;1.99648;1.60548;70.61814661;4.692045501;5
1/12/2003;63.75078011;184.3;1.83;8.03;2.12353;1.63845;70.65215373;4.762377293;5
1/01/2004;64.72852091;185.2;1.83;8.11;2.21273;1.82848;70.76479736;5.268532258;5
1/02/2004;65.20698981;186.2;1.94;8.1;1.99978;1.85324;71.03197505;5.341478371;5
1/03/2004;65.67505721;187.4;1.86;8.1;1.89616;1.86093;71.37408408;5.472909056;5
1/04/2004;66.02350739;188;1.92;8.05;2.25877;2.01258;71.69093352;5.324309807;5
1/05/2004;66.56958602;189.1;2.1;7.98;2.70778;2.00496;71.95003108;5.349647357;5
1/06/2004;66.83482421;189.7;2.26;7.94;2.89129;2.10885;72.17931593;5.356986243;5
1/07/2004;67.15727065;189.4;2.72;7.9;2.68481;1.97648;72.44166075;5.443809559;5
1/08/2004;67.35489911;189.5;2.41;7.91;2.39245;1.90017;72.76076644;5.618135556;5
1/09/2004;67.88017475;189.9;2.08;7.9;2.27273;1.94801;73.07196801;5.892911013;5
1/10/2004;68.54587061;190.9;2.07;7.83;2.69967;1.98312;73.32742882;6.232500011;5
1/11/2004;69.22716871;191;2.43;7.77;2.96503;2.06234;73.519009;6.531996123;5
1/12/2004;69.63282713;190.3;2.68;7.78;2.79375;2.0656;73.72540807;6.66583741;5
1/01/2005;70.57936343;190.7;2.55;7.76;2.53262;2.1711;73.99816987;6.576911046;5
1/02/2005;71.09943832;191.8;2.61;7.72;2.59896;2.17457;74.38696505;6.303121945;5
1/03/2005;71.43228625;193.3;2.75;7.62;2.74774;2.25577;74.76142372;6.257268388;5
1/04/2005;71.8847514;194.6;2.75;7.61;2.8439;2.1085;74.9985036;6.371429685;5
1/05/2005;72.24360308;194.4;2.829545455;7.59;2.56989;2.17739;75.01273812;6.514610757;5
1/06/2005;72.71687123;194.5;3;7.61;2.33993;2.0861;74.79813934;6.681334998;5
1/07/2005;73.40337009;195.4;3.05952381;7.59;2.67968;2.11479;74.53667219;6.866680447;5
1/08/2005;73.66860828;196.4;3.336956522;7.59;3.04012;2.15899;74.40690686;6.793070008;5
1/09/2005;74.29269815;198.8;3.613636364;7.62;3.83077;2.19412;74.51305159;6.797318608;5
1/10/2005;75.59808612;199.2;3.75;7.68;3.55116;2.26406;74.84458367;7.090623845;5
1/11/2005;75.62929062;197.6;3.840909091;7.61;2.93935;2.30622;75.34693734;6.914479149;5
1/12/2005;75.59808612;196.8;4.113636364;7.61;2.88395;2.28035;75.950329;6.668133404;5
1/01/2006;76.28458498;198.3;4.25;7.62;3.24706;2.14322;76.52358459;6.373202556;6
1/02/2006;76.26378198;198.7;4.25;7.61;3.0225;2.13854;77.08533935;6.102399785;6
1/03/2006;76.63303516;199.8;4.25;7.62;2.91357;2.16737;77.52453285;5.980475472;6
1/04/2006;77.26232577;201.5;4.275;7.59;3.10237;2.36125;77.83462905;5.910490978;6
1/05/2006;77.74599542;202.5;4.5;7.58;3.32176;2.40855;78.08171102;5.532933547;6
1/06/2006;78.20886208;202.9;4.579545455;7.61;3.51295;2.59595;78.3906939;5.313144726;6
1/07/2006;78.56771375;203.5;4.785714286;7.58;3.42781;2.54578;78.84287781;5.109561482;6
1/08/2006;78.82255045;203.9;5;7.58;3.33601;2.67022;79.38763096;4.959949368;6
1/09/2006;78.52610776;202.9;5;7.61;2.08113;2.60572;79.95290513;4.561810164;6
1/10/2006;78.51050551;201.8;5;7.61;1.67724;2.49713;80.49494559;3.860106495;6
1/11/2006;78.95776992;201.5;5;7.61;1.92408;2.2845;80.97917921;3.736074943;6
1/12/2006;79.9771167;201.8;5;7.6;2.28684;2.31574;81.42949365;3.986160387;6
1/01/2007;81.03286873;202.416;5;7.68;2.13322;2.50047;81.84274161;4.04;5
1/02/2007;81.31370917;203.499;5;7.7;2.38868;2.55669;82.31775331;4.32;5
